LoopCnt,H10Mode,H10AssistLevel,ImuHubConnected,LeftHipAngle,RightHipAngle,LeftThighAngle,RightThighAngle,LeftHipTorque,RightHipTorque,LeftHipMotorAngle,RightHipMotorAngle,LeftHipImuGlobalAccX,LeftHipImuGlobalAccY,LeftHipImuGlobalAccZ,LeftHipImuGlobalGyrX,LeftHipImuGlobalGyrY,LeftHipImuGlobalGyrZ,RightHipImuGlobalAccX,RightHipImuGlobalAccY,RightHipImuGlobalAccZ,RightHipImuGlobalGyrX,RightHipImuGlobalGyrY,RightHipImuGlobalGyrZ,TrunkIMU_LocalAccX,TrunkIMU_LocalAccY,TrunkIMU_LocalAccZ,TrunkIMU_LocalGyrX,TrunkIMU_LocalGyrY,TrunkIMU_LocalGyrZ,TrunkIMU_QuatW,TrunkIMU_QuatX,TrunkIMU_QuatY,TrunkIMU_QuatZ,L_THIGH_IMU_QuatW,L_THIGH_IMU_QuatX,L_THIGH_IMU_QuatY,L_THIGH_IMU_QuatZ,L_THIGH_IMU_AccX,L_THIGH_IMU_AccY,L_THIGH_IMU_AccZ,L_THIGH_IMU_GyrX,L_THIGH_IMU_GyrY,L_THIGH_IMU_GyrZ,L_SHANK_IMU_QuatW,L_SHANK_IMU_QuatX,L_SHANK_IMU_QuatY,L_SHANK_IMU_QuatZ,L_SHANK_IMU_AccX,L_SHANK_IMU_AccY,L_SHANK_IMU_AccZ,L_SHANK_IMU_GyrX,L_SHANK_IMU_GyrY,L_SHANK_IMU_GyrZ,L_FOOT_IMU_QuatW,L_FOOT_IMU_QuatX,L_FOOT_IMU_QuatY,L_FOOT_IMU_QuatZ,L_FOOT_IMU_AccX,L_FOOT_IMU_AccY,L_FOOT_IMU_AccZ,L_FOOT_IMU_GyrX,L_FOOT_IMU_GyrY,L_FOOT_IMU_GyrZ,R_THIGH_IMU_QuatW,R_THIGH_IMU_QuatX,R_THIGH_IMU_QuatY,R_THIGH_IMU_QuatZ,R_THIGH_IMU_AccX,R_THIGH_IMU_AccY,R_THIGH_IMU_AccZ,R_THIGH_IMU_GyrX,R_THIGH_IMU_GyrY,R_THIGH_IMU_GyrZ,R_SHANK_IMU_QuatW,R_SHANK_IMU_QuatX,R_SHANK_IMU_QuatY,R_SHANK_IMU_QuatZ,R_SHANK_IMU_AccX,R_SHANK_IMU_AccY,R_SHANK_IMU_AccZ,R_SHANK_IMU_GyrX,R_SHANK_IMU_GyrY,R_SHANK_IMU_GyrZ,R_FOOT_IMU_QuatW,R_FOOT_IMU_QuatX,R_FOOT_IMU_QuatY,R_FOOT_IMU_QuatZ,R_FOOT_IMU_AccX,R_FOOT_IMU_AccY,R_FOOT_IMU_AccZ,R_FOOT_IMU_GyrX,R_FOOT_IMU_GyrY,R_FOOT_IMU_GyrZ
527269,0,0,1,-22.2583,-15.4028,-9.4043,-2.5488,-0.0128,-0.0128,-23.5986,-18.0396,-0.0527,9.6869,0.1413,-0.0305,-0.5493,0.1526,-0.0527,9.6869,0.1413,-0.0305,-0.5493,0.1526,-7.6040,1.5531,5.9146,0.0070,-0.0323,-0.0011,0.4790,-0.3228,0.3074,0.7562,0.5605,0.4089,0.5957,-0.4045,-9.7400,-0.2000,-0.4300,0.0000,0.0000,0.0000,0.4013,0.6047,0.4714,0.5009,2.2400,9.3200,-1.7500,0.0000,0.0000,0.0000,0.2893,0.5569,0.4843,0.6095,3.7100,8.9200,-0.8900,0.0000,0.0000,0.0000,-0.5019,-0.4903,-0.5260,0.4805,-9.7400,-0.1400,-0.2400,0.0000,0.0000,0.0000,-0.4249,-0.5756,0.4375,0.5445,-2.4000,9.4100,-0.3400,0.0000,0.0000,0.0000,0.5145,0.6429,0.2054,0.5287,4.7000,8.5200,0.7600,0.0000,0.0000,0.0000
527270,0,0,1,-22.2583,-15.4028,-9.4043,-2.5488,0.0165,0.0348,-23.5986,-18.0396,0.0982,9.7731,0.1269,-0.2441,-0.5798,0.0916,0.0982,9.7731,0.1269,-0.2441,-0.5798,0.0916,-7.6040,1.5531,5.9146,0.0070,-0.0323,-0.0011,0.4790,-0.3228,0.3074,0.7562,0.5605,0.4089,0.5957,-0.4045,-9.7100,-0.1800,-0.4400,0.0000,0.0000,0.0000,0.4012,0.6047,0.4715,0.5009,2.2600,9.3000,-1.7500,0.0000,0.0000,0.0000,0.2893,0.5569,0.4843,0.6095,3.7100,8.9200,-0.8900,0.0000,0.0000,0.0000,-0.5018,-0.4904,-0.5260,0.4805,-9.7200,-0.1400,-0.2100,0.0000,0.0000,0.0000,-0.4249,-0.5756,0.4375,0.5445,-2.4000,9.4100,-0.3400,0.0000,0.0000,0.0000,0.5145,0.6430,0.2054,0.5287,4.7000,8.5300,0.7600,0.0000,0.0000,0.0000
527271,0,0,1,-22.2583,-15.4028,-9.4043,-2.5488,0.0018,0.0000,-23.5986,-18.0396,0.0431,9.7540,0.1053,-0.1221,-0.6409,0.1831,0.0431,9.7540,0.1053,-0.1221,-0.6409,0.1831,-7.6040,1.5531,5.9146,0.0070,-0.0323,-0.0011,0.4790,-0.3228,0.3074,0.7562,0.5605,0.4089,0.5957,-0.4045,-9.7200,-0.1800,-0.4300,0.0000,0.0000,0.0000,0.4011,0.6047,0.4715,0.5010,2.3000,9.3000,-1.7600,0.0000,0.0000,0.0000,0.2892,0.5569,0.4843,0.6095,3.7000,8.9100,-0.8800,0.0000,0.0000,0.0000,-0.5018,-0.4904,-0.5260,0.4805,-9.7300,-0.1300,-0.2000,0.0000,0.0000,0.0000,-0.4249,-0.5756,0.4374,0.5446,-2.4000,9.4300,-0.3700,0.0000,0.0000,0.0000,0.5145,0.6430,0.2054,0.5286,4.6700,8.5300,0.7400,0.0000,0.0000,0.0000
527272,0,0,1,-22.2583,-15.4028,-9.4043,-2.5488,0.0110,0.0201,-23.5986,-18.0396,0.0335,9.7205,0.0694,0.0000,-0.2747,0.3052,0.0335,9.7205,0.0694,0.0000,-0.2747,0.3052,-7.5907,1.5757,5.9221,0.0049,-0.0355,-0.0024,0.4790,-0.3227,0.3074,0.7563,0.5605,0.4089,0.5957,-0.4045,-9.7200,-0.1800,-0.4300,0.0000,0.0000,0.0000,0.4011,0.6047,0.4715,0.5010,2.3000,9.3000,-1.7600,0.0000,0.0000,0.0000,0.2892,0.5569,0.4843,0.6095,3.7000,8.9000,-0.8900,0.0000,0.0000,0.0000,-0.5018,-0.4904,-0.5260,0.4805,-9.7300,-0.1300,-0.2000,0.0000,0.0000,0.0000,-0.4249,-0.5756,0.4374,0.5446,-2.4100,9.4400,-0.3700,0.0000,0.0000,0.0000,0.5145,0.6430,0.2054,0.5286,4.6800,8.5600,0.7500,0.0000,0.0000,0.0000
527273,0,0,1,-22.2583,-15.4028,-9.4043,-2.5488,0.0000,0.0403,-23.5986,-18.0396,0.0694,9.7731,0.1269,-0.3662,-0.7324,0.1526,0.0694,9.7731,0.1269,-0.3662,-0.7324,0.1526,-7.5907,1.5757,5.9221,0.0049,-0.0355,-0.0024,0.4790,-0.3227,0.3074,0.7563,0.5605,0.4088,0.5958,-0.4045,-9.7500,-0.2000,-0.4500,0.0000,0.0000,0.0000,0.4011,0.6047,0.4715,0.5010,2.3300,9.2700,-1.7600,0.0000,0.0000,0.0000,0.2892,0.5569,0.4843,0.6095,3.6900,8.9000,-0.9200,0.0000,0.0000,0.0000,-0.5017,-0.4904,-0.5260,0.4805,-9.7200,-0.1400,-0.2000,0.0000,0.0000,0.0000,-0.4249,-0.5756,0.4374,0.5446,-2.4000,9.4300,-0.3600,0.0000,0.0000,0.0000,0.5145,0.6430,0.2054,0.5286,4.6800,8.5600,0.7500,0.0000,0.0000,0.0000
527274,0,0,1,-22.2583,-15.4028,-9.4043,-2.5488,0.0000,0.0000,-23.5986,-18.0396,0.0000,9.7300,0.0862,-0.3662,-0.3662,0.2441,0.0000,9.7300,0.0862,-0.3662,-0.3662,0.2441,-7.5775,1.5852,5.9558,0.0101,-0.0348,-0.0013,0.4790,-0.3227,0.3073,0.7563,0.5605,0.4088,0.5958,-0.4045,-9.7400,-0.2000,-0.4400,0.0000,0.0000,0.0000,0.4010,0.6047,0.4716,0.5010,2.3300,9.2800,-1.7500,0.0000,0.0000,0.0000,0.2892,0.5569,0.4843,0.6095,3.6800,8.9000,-0.8900,0.0000,0.0000,0.0000,-0.5017,-0.4904,-0.5260,0.4805,-9.7300,-0.1500,-0.2200,0.0000,0.0000,0.0000,-0.4249,-0.5756,0.4373,0.5446,-2.4100,9.4200,-0.3700,0.0000,0.0000,0.0000,0.5145,0.6430,0.2054,0.5285,4.6700,8.5300,0.7400,0.0000,0.0000,0.0000
527275,0,0,1,-22.2583,-15.4028,-9.4043,-2.5488,-0.0092,-0.0201,-23.5986,-18.0396,0.0120,9.7109,0.0527,-0.1221,-0.6104,0.4578,0.0120,9.7109,0.0527,-0.1221,-0.6104,0.4578,-7.5775,1.5852,5.9558,0.0101,-0.0348,-0.0013,0.4790,-0.3227,0.3073,0.7563,0.5604,0.4088,0.5958,-0.4045,-9.7200,-0.1800,-0.4400,0.0000,0.0000,0.0000,0.4010,0.6047,0.4716,0.5010,2.3300,9.2600,-1.7800,0.0000,0.0000,0.0000,0.2892,0.5569,0.4843,0.6095,3.6800,8.9000,-0.8900,0.0000,0.0000,0.0000,-0.5016,-0.4904,-0.5261,0.4805,-9.7100,-0.1500,-0.2200,0.0000,0.0000,0.0000,-0.4249,-0.5756,0.4373,0.5446,-2.4100,9.4200,-0.3700,0.0000,0.0000,0.0000,0.5145,0.6431,0.2054,0.5285,4.6600,8.5100,0.7700,0.0000,0.0000,0.0000
527276,0,0,1,-22.2583,-15.4028,-9.4043,-2.5488,-0.0073,-0.0220,-23.5986,-18.0396,0.0503,9.7492,0.0742,-0.0916,-0.7324,0.3052,0.0503,9.7492,0.0742,-0.0916,-0.7324,0.3052,-7.5775,1.5852,5.9558,0.0101,-0.0348,-0.0013,0.4790,-0.3227,0.3073,0.7563,0.5604,0.4087,0.5959,-0.4045,-9.7300,-0.2000,-0.4600,0.0000,0.0000,0.0000,0.4010,0.6047,0.4716,0.5010,2.3300,9.2600,-1.7800,0.0000,0.0000,0.0000,0.2892,0.5569,0.4844,0.6095,3.7300,8.9000,-0.9200,0.0000,0.0000,0.0000,-0.5016,-0.4904,-0.5261,0.4806,-9.7200,-0.1400,-0.2000,0.0000,0.0000,0.0000,-0.4250,-0.5756,0.4373,0.5446,-2.4200,9.4300,-0.3700,0.0000,0.0000,0.0000,0.5145,0.6431,0.2054,0.5285,4.6700,8.5500,0.7800,0.0000,0.0000,0.0000
527277,0,0,1,-22.2583,-15.4028,-9.4043,-2.5488,0.0055,-0.0220,-23.5986,-18.0396,0.0168,9.7731,0.1053,-0.3662,-0.7629,0.4578,0.0168,9.7731,0.1053,-0.3662,-0.7629,0.4578,-7.5696,1.5818,5.9295,0.0133,-0.0335,0.0030,0.4791,-0.3226,0.3073,0.7563,0.5604,0.4087,0.5959,-0.4045,-9.7300,-0.2000,-0.4600,0.0000,0.0000,0.0000,0.4009,0.6047,0.4716,0.5010,2.3100,9.2700,-1.7800,0.0000,0.0000,0.0000,0.2891,0.5569,0.4844,0.6095,3.7400,8.9000,-0.9200,0.0000,0.0000,0.0000,-0.5016,-0.4904,-0.5261,0.4806,-9.7100,-0.1500,-0.2000,0.0000,0.0000,0.0000,-0.4250,-0.5756,0.4373,0.5447,-2.4300,9.4400,-0.3600,0.0000,0.0000,0.0000,0.5145,0.6431,0.2055,0.5285,4.6600,8.5400,0.7800,0.0000,0.0000,0.0000
527278,0,0,1,-22.2583,-15.4028,-9.4043,-2.5488,-0.0073,-0.0183,-23.5986,-18.0396,0.0287,9.7683,0.0383,-0.3052,-0.6714,0.3967,0.0287,9.7683,0.0383,-0.3052,-0.6714,0.3967,-7.5696,1.5818,5.9295,0.0133,-0.0335,0.0030,0.4791,-0.3226,0.3073,0.7563,0.5604,0.4087,0.5959,-0.4045,-9.7400,-0.2000,-0.4700,0.0000,0.0000,0.0000,0.4009,0.6047,0.4717,0.5010,2.2900,9.2900,-1.7700,0.0000,0.0000,0.0000,0.2891,0.5569,0.4844,0.6095,3.7200,8.9100,-0.9200,0.0000,0.0000,0.0000,-0.5016,-0.4904,-0.5261,0.4806,-9.7100,-0.1500,-0.2000,0.0000,0.0000,0.0000,-0.4250,-0.5756,0.4372,0.5447,-2.4100,9.4700,-0.3700,0.0000,0.0000,0.0000,0.5145,0.6431,0.2055,0.5285,4.6600,8.5400,0.7800,0.0000,0.0000,0.0000
