LoopCnt,H10Mode,H10AssistLevel,ImuHubConnected,LeftHipAngle,RightHipAngle,LeftThighAngle,RightThighAngle,LeftHipTorque,RightHipTorque,LeftHipMotorAngle,RightHipMotorAngle,LeftHipImuGlobalAccX,LeftHipImuGlobalAccY,LeftHipImuGlobalAccZ,LeftHipImuGlobalGyrX,LeftHipImuGlobalGyrY,LeftHipImuGlobalGyrZ,RightHipImuGlobalAccX,RightHipImuGlobalAccY,RightHipImuGlobalAccZ,RightHipImuGlobalGyrX,RightHipImuGlobalGyrY,RightHipImuGlobalGyrZ,TrunkIMU_LocalAccX,TrunkIMU_LocalAccY,TrunkIMU_LocalAccZ,TrunkIMU_LocalGyrX,TrunkIMU_LocalGyrY,TrunkIMU_LocalGyrZ,TrunkIMU_QuatW,TrunkIMU_QuatX,TrunkIMU_QuatY,TrunkIMU_QuatZ,L_THIGH_IMU_QuatW,L_THIGH_IMU_QuatX,L_THIGH_IMU_QuatY,L_THIGH_IMU_QuatZ,L_THIGH_IMU_AccX,L_THIGH_IMU_AccY,L_THIGH_IMU_AccZ,L_THIGH_IMU_GyrX,L_THIGH_IMU_GyrY,L_THIGH_IMU_GyrZ,L_SHANK_IMU_QuatW,L_SHANK_IMU_QuatX,L_SHANK_IMU_QuatY,L_SHANK_IMU_QuatZ,L_SHANK_IMU_AccX,L_SHANK_IMU_AccY,L_SHANK_IMU_AccZ,L_SHANK_IMU_GyrX,L_SHANK_IMU_GyrY,L_SHANK_IMU_GyrZ,L_FOOT_IMU_QuatW,L_FOOT_IMU_QuatX,L_FOOT_IMU_QuatY,L_FOOT_IMU_QuatZ,L_FOOT_IMU_AccX,L_FOOT_IMU_AccY,L_FOOT_IMU_AccZ,L_FOOT_IMU_GyrX,L_FOOT_IMU_GyrY,L_FOOT_IMU_GyrZ,R_THIGH_IMU_QuatW,R_THIGH_IMU_QuatX,R_THIGH_IMU_QuatY,R_THIGH_IMU_QuatZ,R_THIGH_IMU_AccX,R_THIGH_IMU_AccY,R_THIGH_IMU_AccZ,R_THIGH_IMU_GyrX,R_THIGH_IMU_GyrY,R_THIGH_IMU_GyrZ,R_SHANK_IMU_QuatW,R_SHANK_IMU_QuatX,R_SHANK_IMU_QuatY,R_SHANK_IMU_QuatZ,R_SHANK_IMU_AccX,R_SHANK_IMU_AccY,R_SHANK_IMU_AccZ,R_SHANK_IMU_GyrX,R_SHANK_IMU_GyrY,R_SHANK_IMU_GyrZ,R_FOOT_IMU_QuatW,R_FOOT_IMU_QuatX,R_FOOT_IMU_QuatY,R_FOOT_IMU_QuatZ,R_FOOT_IMU_AccX,R_FOOT_IMU_AccY,R_FOOT_IMU_AccZ,R_FOOT_IMU_GyrX,R_FOOT_IMU_GyrY,R_FOOT_IMU_GyrZ
125140,0,0,1,-5.4932,0.2637,-3.4497,2.3291,0.0146,0.0037,-6.9434,-2.2412,-0.1006,9.7636,-0.0335,1.2512,-0.9155,-0.0610,-0.1006,9.7636,-0.0335,1.2512,-0.9155,-0.0610,9.7268,-0.1702,0.8584,0.0050,0.0029,0.0047,0.1012,0.6669,-0.1023,0.7311,0.5298,0.4697,-0.4857,0.5124,9.7500,-0.0800,0.8500,0.0000,0.0000,0.0000,0.6184,0.3970,-0.4984,0.4597,9.5900,0.2500,1.8300,0.0000,0.0000,0.0000,0.2333,-0.2932,-0.9266,0.0298,4.0500,-1.8800,-8.7100,0.0000,0.0000,0.0000,0.6029,-0.4213,-0.4429,-0.5124,9.4200,-0.5000,2.3600,0.0000,0.0000,0.0000,-0.5020,0.4658,0.4384,0.5819,9.5200,0.4100,1.8400,0.0000,0.0000,0.0000,0.2299,-0.4116,-0.8649,-0.1719,5.3300,1.0500,-8.1600,0.0000,0.0000,0.0000
125141,0,0,1,-5.4932,0.2637,-3.4497,2.3291,0.0092,0.0092,-6.9434,-2.2412,-0.1053,9.7779,-0.0790,1.2817,-0.8850,-0.1526,-0.1053,9.7779,-0.0790,1.2817,-0.8850,-0.1526,9.7268,-0.1702,0.8584,0.0050,0.0029,0.0047,0.1012,0.6669,-0.1023,0.7311,0.5298,0.4697,-0.4857,0.5124,9.7500,-0.0800,0.8500,0.0000,0.0000,0.0000,0.6184,0.3970,-0.4984,0.4597,9.5900,0.2600,1.8300,0.0000,0.0000,0.0000,0.2333,-0.2932,-0.9266,0.0298,4.0600,-1.8900,-8.7100,0.0000,0.0000,0.0000,0.6029,-0.4214,-0.4428,-0.5125,9.4300,-0.5100,2.3800,0.0000,0.0000,0.0000,-0.5020,0.4658,0.4384,0.5819,9.5200,0.4100,1.8400,0.0000,0.0000,0.0000,0.2299,-0.4116,-0.8649,-0.1719,5.3100,1.0600,-8.1600,0.0000,0.0000,0.0000
125142,0,0,1,-5.4932,0.2637,-3.4497,2.3291,-0.0128,-0.0128,-6.9434,-2.2412,-0.0814,9.7636,-0.0096,1.1902,-1.0071,-0.0610,-0.0814,9.7636,-0.0096,1.1902,-1.0071,-0.0610,9.7268,-0.1702,0.8584,0.0050,0.0029,0.0047,0.1012,0.6669,-0.1023,0.7311,0.5298,0.4697,-0.4857,0.5124,9.7500,-0.0600,0.8400,0.0000,0.0000,0.0000,0.6184,0.3970,-0.4984,0.4597,9.5800,0.2900,1.8100,0.0000,0.0000,0.0000,0.2333,-0.2932,-0.9266,0.0298,4.0600,-1.8600,-8.6900,0.0000,0.0000,0.0000,0.6030,-0.4214,-0.4428,-0.5125,9.4300,-0.5300,2.3700,0.0000,0.0000,0.0000,-0.5020,0.4659,0.4384,0.5819,9.4800,0.3900,1.8100,0.0000,0.0000,0.0000,0.2299,-0.4116,-0.8649,-0.1719,5.2800,1.0500,-8.1700,0.0000,0.0000,0.0000
125143,0,0,1,-5.4932,0.2637,-3.4497,2.3291,-0.0055,-0.0165,-6.9434,-2.2412,-0.1173,9.7540,-0.0694,1.1902,-0.9766,-0.3662,-0.1173,9.7540,-0.0694,1.1902,-0.9766,-0.3662,9.6995,-0.1421,0.8549,0.0013,-0.0040,0.0053,0.1012,0.6669,-0.1023,0.7311,0.5298,0.4697,-0.4858,0.5124,9.7600,-0.0700,0.8500,0.0000,0.0000,0.0000,0.6184,0.3970,-0.4984,0.4597,9.5800,0.3200,1.8000,0.0000,0.0000,0.0000,0.2333,-0.2932,-0.9266,0.0298,4.0800,-1.8600,-8.7000,0.0000,0.0000,0.0000,0.6030,-0.4214,-0.4428,-0.5125,9.4300,-0.5300,2.3700,0.0000,0.0000,0.0000,-0.5019,0.4659,0.4383,0.5820,9.5100,0.3900,1.8100,0.0000,0.0000,0.0000,0.2299,-0.4116,-0.8649,-0.1719,5.2900,1.0600,-8.1700,0.0000,0.0000,0.0000
125144,0,0,1,-5.4932,0.2637,-3.4497,2.3291,-0.0073,0.0092,-6.9434,-2.2412,-0.0838,9.8019,-0.0287,1.0986,-1.0071,-0.1526,-0.0838,9.8019,-0.0287,1.0986,-1.0071,-0.1526,9.6995,-0.1421,0.8549,0.0013,-0.0040,0.0053,0.1012,0.6669,-0.1023,0.7311,0.5298,0.4697,-0.4858,0.5123,9.7300,-0.0300,0.8200,0.0000,0.0000,0.0000,0.6184,0.3970,-0.4984,0.4597,9.5800,0.3200,1.8000,0.0000,0.0000,0.0000,0.2333,-0.2932,-0.9266,0.0298,4.0500,-1.8800,-8.7000,0.0000,0.0000,0.0000,0.6030,-0.4214,-0.4427,-0.5125,9.4600,-0.4600,2.3500,0.0000,0.0000,0.0000,-0.5019,0.4659,0.4383,0.5820,9.5300,0.4200,1.8200,0.0000,0.0000,0.0000,0.2299,-0.4116,-0.8649,-0.1719,5.3000,1.0700,-8.1600,0.0000,0.0000,0.0000
125145,0,0,1,-5.4932,0.2637,-3.4497,2.3291,0.0000,0.0165,-6.9434,-2.2412,-0.1101,9.7444,-0.0862,1.0986,-0.9155,-0.3052,-0.1101,9.7444,-0.0862,1.0986,-0.9155,-0.3052,9.7168,-0.1372,0.8488,-0.0040,-0.0047,0.0044,0.1012,0.6669,-0.1023,0.7311,0.5298,0.4697,-0.4858,0.5123,9.7500,-0.0500,0.8400,0.0000,0.0000,0.0000,0.6184,0.3970,-0.4984,0.4596,9.5800,0.3100,1.7900,0.0000,0.0000,0.0000,0.2333,-0.2932,-0.9266,0.0298,4.0500,-1.8800,-8.7000,0.0000,0.0000,0.0000,0.6030,-0.4215,-0.4427,-0.5125,9.4500,-0.4900,2.3600,0.0000,0.0000,0.0000,-0.5019,0.4659,0.4383,0.5820,9.5600,0.4100,1.8300,0.0000,0.0000,0.0000,0.2299,-0.4116,-0.8649,-0.1719,5.3000,1.0700,-8.1600,0.0000,0.0000,0.0000
125146,0,0,1,-5.4932,0.2637,-3.4497,2.3291,-0.0073,0.0055,-6.9434,-2.2412,-0.1053,9.7683,-0.0838,1.1292,-0.8240,-0.4272,-0.1053,9.7683,-0.0838,1.1292,-0.8240,-0.4272,9.7168,-0.1372,0.8488,-0.0040,-0.0047,0.0044,0.1012,0.6669,-0.1023,0.7311,0.5298,0.4697,-0.4858,0.5123,9.7500,-0.0500,0.8400,0.0000,0.0000,0.0000,0.6184,0.3970,-0.4984,0.4596,9.5900,0.3100,1.7800,0.0000,0.0000,0.0000,0.2333,-0.2932,-0.9266,0.0298,4.0500,-1.8900,-8.7000,0.0000,0.0000,0.0000,0.6030,-0.4215,-0.4426,-0.5125,9.4700,-0.5100,2.3900,0.0000,0.0000,0.0000,-0.5019,0.4659,0.4383,0.5820,9.5600,0.4100,1.8300,0.0000,0.0000,0.0000,0.2299,-0.4116,-0.8649,-0.1719,5.3100,1.0600,-8.1700,0.0000,0.0000,0.0000
125147,0,0,1,-5.4932,0.2637,-3.4497,2.3291,-0.0037,-0.0110,-6.9434,-2.2412,-0.0742,9.7923,-0.0479,1.1902,-1.1292,-0.2747,-0.0742,9.7923,-0.0479,1.1902,-1.1292,-0.2747,9.7168,-0.1372,0.8488,-0.0040,-0.0047,0.0044,0.1012,0.6669,-0.1023,0.7311,0.5298,0.4697,-0.4858,0.5123,9.7300,-0.0300,0.8200,0.0000,0.0000,0.0000,0.6184,0.3970,-0.4984,0.4596,9.6000,0.3100,1.7900,0.0000,0.0000,0.0000,0.2333,-0.2932,-0.9266,0.0298,4.0400,-1.9000,-8.7000,0.0000,0.0000,0.0000,0.6030,-0.4215,-0.4426,-0.5125,9.5000,-0.4300,2.3500,0.0000,0.0000,0.0000,-0.5018,0.4660,0.4383,0.5820,9.5700,0.4100,1.8200,0.0000,0.0000,0.0000,0.2299,-0.4116,-0.8649,-0.1719,5.2900,1.0600,-8.1700,0.0000,0.0000,0.0000
125148,0,0,1,-5.4932,0.2637,-3.4497,2.3291,0.0201,-0.0128,-6.9434,-2.2412,-0.1125,9.8282,-0.0479,1.3123,-1.1292,-0.5188,-0.1125,9.8282,-0.0479,1.3123,-1.1292,-0.5188,9.7099,-0.1876,0.8075,-0.0072,-0.0007,0.0042,0.1012,0.6669,-0.1023,0.7311,0.5298,0.4697,-0.4858,0.5123,9.7300,-0.0500,0.8100,0.0000,0.0000,0.0000,0.6184,0.3970,-0.4984,0.4596,9.6000,0.3100,1.7900,0.0000,0.0000,0.0000,0.2333,-0.2932,-0.9266,0.0298,4.0400,-1.8800,-8.7000,0.0000,0.0000,0.0000,0.6030,-0.4215,-0.4426,-0.5125,9.5000,-0.4300,2.3500,0.0000,0.0000,0.0000,-0.5018,0.4660,0.4383,0.5820,9.5700,0.4000,1.7800,0.0000,0.0000,0.0000,0.2299,-0.4116,-0.8649,-0.1719,5.2900,1.0600,-8.1600,0.0000,0.0000,0.0000
125149,0,0,1,-5.4932,0.2637,-3.4497,2.3291,0.0275,-0.0018,-6.9434,-2.2412,-0.1269,9.7444,-0.0599,1.0071,-0.9766,-0.3052,-0.1269,9.7444,-0.0599,1.0071,-0.9766,-0.3052,9.7099,-0.1876,0.8075,-0.0072,-0.0007,0.0042,0.1012,0.6669,-0.1023,0.7311,0.5298,0.4697,-0.4858,0.5123,9.7500,-0.0600,0.8100,0.0000,0.0000,0.0000,0.6184,0.3970,-0.4984,0.4596,9.5900,0.3000,1.8200,0.0000,0.0000,0.0000,0.2333,-0.2932,-0.9266,0.0298,4.0600,-1.8800,-8.7000,0.0000,0.0000,0.0000,0.6030,-0.4215,-0.4425,-0.5126,9.4900,-0.4800,2.3400,0.0000,0.0000,0.0000,-0.5018,0.4660,0.4383,0.5820,9.5800,0.4000,1.7500,0.0000,0.0000,0.0000,0.2299,-0.4116,-0.8649,-0.1719,5.2800,1.0500,-8.1800,0.0000,0.0000,0.0000
125150,0,0,1,-5.4932,0.2637,-3.4497,2.3291,-0.0092,-0.0183,-6.9434,-2.2412,-0.1006,9.8306,-0.0527,1.1597,-0.8240,-0.3967,-0.1006,9.8306,-0.0527,1.1597,-0.8240,-0.3967,9.7520,-0.1377,0.8317,-0.0028,0.0015,0.0080,0.1012,0.6669,-0.1024,0.7311,0.5298,0.4697,-0.4858,0.5123,9.7400,-0.0400,0.8000,0.0000,0.0000,0.0000,0.6184,0.3971,-0.4984,0.4596,9.6000,0.3200,1.8200,0.0000,0.0000,0.0000,0.2333,-0.2932,-0.9266,0.0298,4.0500,-1.8600,-8.7000,0.0000,0.0000,0.0000,0.6030,-0.4215,-0.4425,-0.5126,9.5100,-0.4700,2.3700,0.0000,0.0000,0.0000,-0.5018,0.4661,0.4383,0.5820,9.5800,0.4300,1.7300,0.0000,0.0000,0.0000,0.2299,-0.4116,-0.8649,-0.1719,5.2800,1.0500,-8.1800,0.0000,0.0000,0.0000
125151,0,0,1,-5.4932,0.2637,-3.4497,2.3291,-0.0037,0.0146,-6.9434,-2.2412,-0.1173,9.7923,-0.0407,1.3123,-0.9460,-0.6409,-0.1173,9.7923,-0.0407,1.3123,-0.9460,-0.6409,9.7520,-0.1377,0.8317,-0.0028,0.0015,0.0080,0.1012,0.6669,-0.1024,0.7311,0.5298,0.4697,-0.4858,0.5123,9.7400,-0.0400,0.8000,0.0000,0.0000,0.0000,0.6185,0.3971,-0.4984,0.4596,9.5900,0.3400,1.8100,0.0000,0.0000,0.0000,0.2333,-0.2932,-0.9266,0.0298,4.0500,-1.8600,-8.7000,0.0000,0.0000,0.0000,0.6030,-0.4215,-0.4425,-0.5126,9.5200,-0.4500,2.3900,0.0000,0.0000,0.0000,-0.5018,0.4661,0.4383,0.5820,9.5800,0.4300,1.7300,0.0000,0.0000,0.0000,0.2299,-0.4116,-0.8649,-0.1719,5.2900,1.0700,-8.1800,0.0000,0.0000,0.0000
