LoopCnt,H10Mode,H10AssistLevel,ImuHubConnected,SyncSignal,LeftHipAngle,RightHipAngle,LeftThighAngle,RightThighAngle,LeftHipTorque,RightHipTorque,LeftHipMotorAngle,RightHipMotorAngle,LeftHipImuGlobalAccX,LeftHipImuGlobalAccY,LeftHipImuGlobalAccZ,LeftHipImuGlobalGyrX,LeftHipImuGlobalGyrY,LeftHipImuGlobalGyrZ,RightHipImuGlobalAccX,RightHipImuGlobalAccY,RightHipImuGlobalAccZ,RightHipImuGlobalGyrX,RightHipImuGlobalGyrY,RightHipImuGlobalGyrZ,TrunkIMU_LocalAccX,TrunkIMU_LocalAccY,TrunkIMU_LocalAccZ,TrunkIMU_LocalGyrX,TrunkIMU_LocalGyrY,TrunkIMU_LocalGyrZ,TrunkIMU_QuatW,TrunkIMU_QuatX,TrunkIMU_QuatY,TrunkIMU_QuatZ,L_THIGH_IMU_QuatW,L_THIGH_IMU_QuatX,L_THIGH_IMU_QuatY,L_THIGH_IMU_QuatZ,L_THIGH_IMU_AccX,L_THIGH_IMU_AccY,L_THIGH_IMU_AccZ,L_THIGH_IMU_GyrX,L_THIGH_IMU_GyrY,L_THIGH_IMU_GyrZ,L_SHANK_IMU_QuatW,L_SHANK_IMU_QuatX,L_SHANK_IMU_QuatY,L_SHANK_IMU_QuatZ,L_SHANK_IMU_AccX,L_SHANK_IMU_AccY,L_SHANK_IMU_AccZ,L_SHANK_IMU_GyrX,L_SHANK_IMU_GyrY,L_SHANK_IMU_GyrZ,L_FOOT_IMU_QuatW,L_FOOT_IMU_QuatX,L_FOOT_IMU_QuatY,L_FOOT_IMU_QuatZ,L_FOOT_IMU_AccX,L_FOOT_IMU_AccY,L_FOOT_IMU_AccZ,L_FOOT_IMU_GyrX,L_FOOT_IMU_GyrY,L_FOOT_IMU_GyrZ,R_THIGH_IMU_QuatW,R_THIGH_IMU_QuatX,R_THIGH_IMU_QuatY,R_THIGH_IMU_QuatZ,R_THIGH_IMU_AccX,R_THIGH_IMU_AccY,R_THIGH_IMU_AccZ,R_THIGH_IMU_GyrX,R_THIGH_IMU_GyrY,R_THIGH_IMU_GyrZ,R_SHANK_IMU_QuatW,R_SHANK_IMU_QuatX,R_SHANK_IMU_QuatY,R_SHANK_IMU_QuatZ,R_SHANK_IMU_AccX,R_SHANK_IMU_AccY,R_SHANK_IMU_AccZ,R_SHANK_IMU_GyrX,R_SHANK_IMU_GyrY,R_SHANK_IMU_GyrZ,R_FOOT_IMU_QuatW,R_FOOT_IMU_QuatX,R_FOOT_IMU_QuatY,R_FOOT_IMU_QuatZ,R_FOOT_IMU_AccX,R_FOOT_IMU_AccY,R_FOOT_IMU_AccZ,R_FOOT_IMU_GyrX,R_FOOT_IMU_GyrY,R_FOOT_IMU_GyrZ
42128,0,0,1,0.0000,3.8672,5.6030,2.0215,3.7573,0.0146,-0.0238,-1.6919,0.9888,-0.0048,9.8426,0.0192,0.6714,-1.8005,0.8240,-0.0048,9.8426,0.0192,0.6714,-1.8005,0.8240,9.8071,-0.1519,0.2302,0.0124,0.0098,0.0047,0.6306,-0.3366,-0.6154,-0.3322,0.6787,0.3376,-0.5818,0.2944,9.6500,1.0700,0.9200,0.0000,0.0000,0.0000,0.7055,0.1961,-0.6603,0.1663,9.7600,0.5100,0.4200,0.0000,0.0000,0.0000,0.0881,-0.9745,-0.0201,-0.2050,3.9500,-1.5800,-8.8400,0.0000,0.0000,0.0000,0.7354,0.0751,-0.6644,0.1090,9.7200,-0.3000,0.9900,0.0000,0.0000,0.0000,0.5689,0.4424,-0.5293,0.4475,9.7800,0.2900,0.4400,0.0000,0.0000,0.0000,0.0788,0.9675,-0.0446,0.2358,4.5300,1.2900,-8.5900,0.0000,0.0000,0.0000
42129,0,0,1,0.0000,3.8672,5.6030,2.0215,3.7573,-0.0092,0.0201,-1.6919,0.9888,-0.0335,9.7827,0.0431,0.6104,-1.5869,1.0071,-0.0335,9.7827,0.0431,0.6104,-1.5869,1.0071,9.8071,-0.1519,0.2302,0.0124,0.0098,0.0047,0.6306,-0.3366,-0.6154,-0.3322,0.6787,0.3376,-0.5818,0.2944,9.6500,1.0700,0.9200,0.0000,0.0000,0.0000,0.7055,0.1961,-0.6603,0.1663,9.7500,0.5100,0.4400,0.0000,0.0000,0.0000,0.0881,-0.9745,-0.0201,-0.2050,3.9400,-1.5700,-8.8100,0.0000,0.0000,0.0000,0.7354,0.0751,-0.6644,0.1091,9.7400,-0.3100,0.9900,0.0000,0.0000,0.0000,0.5689,0.4424,-0.5293,0.4475,9.7600,0.2900,0.4200,0.0000,0.0000,0.0000,0.0788,0.9675,-0.0446,0.2358,4.5300,1.2900,-8.5900,0.0000,0.0000,0.0000
42130,0,0,1,0.0000,3.8672,5.6030,2.0215,3.7573,-0.0128,-0.0183,-1.6919,0.9888,-0.0048,9.8402,0.0479,0.6409,-1.5259,1.0071,-0.0048,9.8402,0.0479,0.6409,-1.5259,1.0071,9.8156,-0.1793,0.2550,0.0126,0.0087,0.0049,0.6306,-0.3366,-0.6154,-0.3321,0.6787,0.3377,-0.5818,0.2944,9.7000,1.0700,0.9000,0.0000,0.0000,0.0000,0.7055,0.1961,-0.6603,0.1663,9.7500,0.5100,0.4400,0.0000,0.0000,0.0000,0.0881,-0.9745,-0.0201,-0.2050,3.9300,-1.5600,-8.8200,0.0000,0.0000,0.0000,0.7354,0.0752,-0.6644,0.1091,9.7600,-0.3000,0.9900,0.0000,0.0000,0.0000,0.5689,0.4424,-0.5293,0.4475,9.7650,0.2900,0.4100,0.0000,0.0000,0.0000,0.0788,0.9675,-0.0446,0.2358,4.5400,1.2900,-8.5700,0.0000,0.0000,0.0000
42131,0,0,1,0.0000,3.8672,5.6030,2.0215,3.7573,0.0256,-0.0165,-1.6919,0.9888,-0.0048,9.8186,0.0622,0.7019,-1.4648,0.8545,-0.0048,9.8186,0.0622,0.7019,-1.4648,0.8545,9.8156,-0.1793,0.2550,0.0126,0.0087,0.0049,0.6306,-0.3366,-0.6154,-0.3321,0.6787,0.3377,-0.5818,0.2945,9.7100,1.0000,0.9300,0.0000,0.0000,0.0000,0.7055,0.1961,-0.6603,0.1663,9.7400,0.5100,0.4000,0.0000,0.0000,0.0000,0.0881,-0.9745,-0.0201,-0.2050,3.9300,-1.5600,-8.8200,0.0000,0.0000,0.0000,0.7354,0.0752,-0.6644,0.1091,9.7400,-0.2800,1.0100,0.0000,0.0000,0.0000,0.5689,0.4424,-0.5293,0.4475,9.7700,0.2900,0.4000,0.0000,0.0000,0.0000,0.0788,0.9675,-0.0446,0.2358,4.5300,1.2900,-8.5800,0.0000,0.0000,0.0000
42132,0,0,1,0.0000,3.8672,5.6030,2.0215,3.7573,-0.0165,0.0146,-1.6919,0.9888,-0.0120,9.8474,-0.0072,0.7019,-1.8005,0.8545,-0.0120,9.8474,-0.0072,0.7019,-1.8005,0.8545,9.8156,-0.1793,0.2550,0.0126,0.0087,0.0049,0.6306,-0.3366,-0.6154,-0.3321,0.6787,0.3377,-0.5818,0.2945,9.7100,1.0000,0.9300,0.0000,0.0000,0.0000,0.7055,0.1961,-0.6603,0.1663,9.7500,0.5200,0.4100,0.0000,0.0000,0.0000,0.0881,-0.9745,-0.0201,-0.2050,3.9200,-1.5800,-8.8300,0.0000,0.0000,0.0000,0.7354,0.0752,-0.6644,0.1092,9.7700,-0.3100,1.0000,0.0000,0.0000,0.0000,0.5689,0.4424,-0.5293,0.4475,9.7700,0.2900,0.3800,0.0000,0.0000,0.0000,0.0788,0.9675,-0.0446,0.2358,4.5400,1.2800,-8.5700,0.0000,0.0000,0.0000
42133,0,0,1,0.0000,3.8672,5.6030,2.0215,3.7573,0.0110,0.0146,-1.6919,0.9888,-0.0215,9.8138,0.0527,0.4883,-1.6785,1.0376,-0.0215,9.8138,0.0527,0.4883,-1.6785,1.0376,9.8234,-0.1756,0.2423,0.0123,0.0090,0.0023,0.6306,-0.3366,-0.6154,-0.3321,0.6787,0.3377,-0.5818,0.2945,9.6800,1.0400,0.9200,0.0000,0.0000,0.0000,0.7055,0.1961,-0.6603,0.1664,9.7400,0.5300,0.4000,0.0000,0.0000,0.0000,0.0881,-0.9745,-0.0201,-0.2050,3.9300,-1.5600,-8.8200,0.0000,0.0000,0.0000,0.7354,0.0753,-0.6644,0.1092,9.7500,-0.3000,0.9800,0.0000,0.0000,0.0000,0.5689,0.4424,-0.5293,0.4475,9.7200,0.3400,0.4100,0.0000,0.0000,0.0000,0.0788,0.9675,-0.0446,0.2358,4.5400,1.2800,-8.5700,0.0000,0.0000,0.0000
42134,0,0,1,0.0000,3.8672,5.6030,2.0215,3.7573,0.0073,-0.0201,-1.6919,0.9888,-0.0527,9.7923,0.0311,0.5188,-1.3733,0.9766,-0.0527,9.7923,0.0311,0.5188,-1.3733,0.9766,9.8234,-0.1756,0.2423,0.0123,0.0090,0.0023,0.6306,-0.3366,-0.6154,-0.3321,0.6786,0.3377,-0.5818,0.2945,9.6900,1.0500,0.9000,0.0000,0.0000,0.0000,0.7055,0.1961,-0.6603,0.1664,9.7500,0.5400,0.4200,0.0000,0.0000,0.0000,0.0881,-0.9745,-0.0201,-0.2050,3.9300,-1.5700,-8.8200,0.0000,0.0000,0.0000,0.7354,0.0753,-0.6644,0.1092,9.7500,-0.3000,0.9800,0.0000,0.0000,0.0000,0.5689,0.4423,-0.5293,0.4475,9.7500,0.3300,0.4000,0.0000,0.0000,0.0000,0.0788,0.9675,-0.0446,0.2358,4.5400,1.2900,-8.5600,0.0000,0.0000,0.0000
42135,0,0,1,0.0000,3.8672,5.6030,2.0215,3.7573,-0.0037,-0.0073,-1.6919,0.9888,0.0766,9.8378,0.0239,0.3662,-1.4648,0.9460,0.0766,9.8378,0.0239,0.3662,-1.4648,0.9460,9.8205,-0.1338,0.2723,0.0121,0.0048,0.0019,0.6306,-0.3366,-0.6154,-0.3321,0.6786,0.3377,-0.5818,0.2945,9.7000,1.0400,0.8900,0.0000,0.0000,0.0000,0.7055,0.1962,-0.6603,0.1664,9.7900,0.5200,0.4500,0.0000,0.0000,0.0000,0.0881,-0.9745,-0.0201,-0.2050,3.9200,-1.5700,-8.8000,0.0000,0.0000,0.0000,0.7354,0.0753,-0.6644,0.1092,9.7300,-0.3300,0.9700,0.0000,0.0000,0.0000,0.5689,0.4423,-0.5293,0.4475,9.7500,0.3300,0.4000,0.0000,0.0000,0.0000,0.0788,0.9675,-0.0446,0.2358,4.5300,1.2900,-8.5700,0.0000,0.0000,0.0000
42136,0,0,1,0.0000,3.8672,5.6030,2.0215,3.7573,-0.0220,-0.0293,-1.6919,0.9888,0.0215,9.8426,0.0479,0.3967,-1.7700,0.9155,0.0215,9.8426,0.0479,0.3967,-1.7700,0.9155,9.8205,-0.1338,0.2723,0.0121,0.0048,0.0019,0.6306,-0.3366,-0.6154,-0.3321,0.6786,0.3377,-0.5818,0.2945,9.6900,1.0500,0.8900,0.0000,0.0000,0.0000,0.7055,0.1962,-0.6603,0.1664,9.7900,0.5200,0.4500,0.0000,0.0000,0.0000,0.0881,-0.9745,-0.0201,-0.2050,3.9200,-1.5700,-8.8100,0.0000,0.0000,0.0000,0.7354,0.0753,-0.6643,0.1092,9.7300,-0.3300,0.9400,0.0000,0.0000,0.0000,0.5689,0.4423,-0.5293,0.4475,9.7700,0.3400,0.4000,0.0000,0.0000,0.0000,0.0788,0.9675,-0.0446,0.2358,4.5100,1.3000,-8.6000,0.0000,0.0000,0.0000
42137,0,0,1,0.0000,3.8672,5.6030,2.0215,3.7573,0.0128,0.0311,-1.6919,0.9888,-0.0263,9.7779,0.0000,0.5798,-1.6479,0.8850,-0.0263,9.7779,0.0000,0.5798,-1.6479,0.8850,9.8205,-0.1338,0.2723,0.0121,0.0048,0.0019,0.6306,-0.3366,-0.6154,-0.3321,0.6786,0.3377,-0.5818,0.2945,9.6900,1.0500,0.8900,0.0000,0.0000,0.0000,0.7055,0.1962,-0.6603,0.1663,9.7900,0.5600,0.4800,0.0000,0.0000,0.0000,0.0881,-0.9745,-0.0201,-0.2050,3.9200,-1.5700,-8.8100,0.0000,0.0000,0.0000,0.7354,0.0754,-0.6643,0.1093,9.7700,-0.3300,0.9400,0.0000,0.0000,0.0000,0.5689,0.4423,-0.5293,0.4475,9.7600,0.3400,0.4000,0.0000,0.0000,0.0000,0.0788,0.9675,-0.0446,0.2358,4.5400,1.2800,-8.5800,0.0000,0.0000,0.0000
42138,0,0,1,0.0000,3.8672,5.6030,2.0215,3.7573,-0.0037,0.0201,-1.6919,0.9888,0.0120,9.8138,0.0215,0.4883,-1.4648,0.8850,0.0120,9.8138,0.0215,0.4883,-1.4648,0.8850,9.8072,-0.1690,0.2016,0.0130,0.0008,0.0034,0.6306,-0.3365,-0.6154,-0.3321,0.6786,0.3377,-0.5818,0.2945,9.7000,1.0700,0.8800,0.0000,0.0000,0.0000,0.7055,0.1962,-0.6603,0.1663,9.7600,0.5800,0.4900,0.0000,0.0000,0.0000,0.0881,-0.9745,-0.0201,-0.2050,3.9200,-1.5500,-8.8100,0.0000,0.0000,0.0000,0.7354,0.0754,-0.6643,0.1093,9.7700,-0.3300,0.9400,0.0000,0.0000,0.0000,0.5689,0.4423,-0.5294,0.4475,9.7500,0.3500,0.4000,0.0000,0.0000,0.0000,0.0788,0.9675,-0.0446,0.2358,4.5400,1.2800,-8.5800,0.0000,0.0000,0.0000
