LoopCnt,H10Mode,H10AssistLevel,ImuHubConnected,LeftHipAngle,RightHipAngle,LeftThighAngle,RightThighAngle,LeftHipTorque,RightHipTorque,LeftHipMotorAngle,RightHipMotorAngle,LeftHipImuGlobalAccX,LeftHipImuGlobalAccY,LeftHipImuGlobalAccZ,LeftHipImuGlobalGyrX,LeftHipImuGlobalGyrY,LeftHipImuGlobalGyrZ,RightHipImuGlobalAccX,RightHipImuGlobalAccY,RightHipImuGlobalAccZ,RightHipImuGlobalGyrX,RightHipImuGlobalGyrY,RightHipImuGlobalGyrZ,TrunkIMU_LocalAccX,TrunkIMU_LocalAccY,TrunkIMU_LocalAccZ,TrunkIMU_LocalGyrX,TrunkIMU_LocalGyrY,TrunkIMU_LocalGyrZ,TrunkIMU_QuatW,TrunkIMU_QuatX,TrunkIMU_QuatY,TrunkIMU_QuatZ,L_THIGH_IMU_QuatW,L_THIGH_IMU_QuatX,L_THIGH_IMU_QuatY,L_THIGH_IMU_QuatZ,L_THIGH_IMU_AccX,L_THIGH_IMU_AccY,L_THIGH_IMU_AccZ,L_THIGH_IMU_GyrX,L_THIGH_IMU_GyrY,L_THIGH_IMU_GyrZ,L_SHANK_IMU_QuatW,L_SHANK_IMU_QuatX,L_SHANK_IMU_QuatY,L_SHANK_IMU_QuatZ,L_SHANK_IMU_AccX,L_SHANK_IMU_AccY,L_SHANK_IMU_AccZ,L_SHANK_IMU_GyrX,L_SHANK_IMU_GyrY,L_SHANK_IMU_GyrZ,L_FOOT_IMU_QuatW,L_FOOT_IMU_QuatX,L_FOOT_IMU_QuatY,L_FOOT_IMU_QuatZ,L_FOOT_IMU_AccX,L_FOOT_IMU_AccY,L_FOOT_IMU_AccZ,L_FOOT_IMU_GyrX,L_FOOT_IMU_GyrY,L_FOOT_IMU_GyrZ,R_THIGH_IMU_QuatW,R_THIGH_IMU_QuatX,R_THIGH_IMU_QuatY,R_THIGH_IMU_QuatZ,R_THIGH_IMU_AccX,R_THIGH_IMU_AccY,R_THIGH_IMU_AccZ,R_THIGH_IMU_GyrX,R_THIGH_IMU_GyrY,R_THIGH_IMU_GyrZ,R_SHANK_IMU_QuatW,R_SHANK_IMU_QuatX,R_SHANK_IMU_QuatY,R_SHANK_IMU_QuatZ,R_SHANK_IMU_AccX,R_SHANK_IMU_AccY,R_SHANK_IMU_AccZ,R_SHANK_IMU_GyrX,R_SHANK_IMU_GyrY,R_SHANK_IMU_GyrZ,R_FOOT_IMU_QuatW,R_FOOT_IMU_QuatX,R_FOOT_IMU_QuatY,R_FOOT_IMU_QuatZ,R_FOOT_IMU_AccX,R_FOOT_IMU_AccY,R_FOOT_IMU_AccZ,R_FOOT_IMU_GyrX,R_FOOT_IMU_GyrY,R_FOOT_IMU_GyrZ
396851,0,0,1,6.8994,9.7559,3.5815,6.4380,0.0000,0.0055,5.7788,6.9653,-0.0263,9.7923,-0.0263,1.5259,0.8850,0.0000,-0.0263,9.7923,-0.0263,1.5259,0.8850,0.0000,9.7995,0.6506,0.4276,0.0024,-0.0007,0.0002,-0.0416,0.6873,0.0873,0.7199,0.1406,0.5880,-0.1699,0.7781,9.4400,-0.9600,2.4700,0.0000,0.0000,0.0000,0.7246,-0.0705,-0.6824,-0.0654,9.7600,-0.1300,0.6100,0.0000,0.0000,0.0000,0.2141,0.2630,-0.9344,0.1088,4.5000,-0.8800,-8.6500,0.0000,0.0000,0.0000,-0.7325,-0.2728,0.5459,-0.3014,9.4200,0.6900,2.4800,0.0000,0.0000,0.0000,0.6477,0.3300,-0.5797,0.3679,9.7300,0.0100,1.1200,0.0000,0.0000,0.0000,-0.3955,0.1956,0.0598,0.8953,3.9000,-0.4700,8.9500,0.0000,0.0000,0.0000
396852,0,0,1,6.8994,9.7559,3.5815,6.4380,0.0018,0.0201,5.7788,6.9653,0.0239,9.8306,0.0503,1.4038,1.0071,0.1221,0.0239,9.8306,0.0503,1.4038,1.0071,0.1221,9.7995,0.6506,0.4276,0.0024,-0.0007,0.0002,-0.0416,0.6873,0.0873,0.7199,0.1406,0.5880,-0.1699,0.7781,9.4200,-0.9700,2.4500,0.0000,0.0000,0.0000,0.7246,-0.0705,-0.6824,-0.0654,9.7600,-0.1400,0.5800,0.0000,0.0000,0.0000,0.2141,0.2630,-0.9344,0.1088,4.4900,-0.8800,-8.6600,0.0000,0.0000,0.0000,-0.7325,-0.2728,0.5459,-0.3014,9.4000,0.6700,2.4700,0.0000,0.0000,0.0000,0.6477,0.3300,-0.5797,0.3679,9.7300,0.0100,1.1200,0.0000,0.0000,0.0000,-0.3955,0.1956,0.0598,0.8953,3.9000,-0.4700,8.9500,0.0000,0.0000,0.0000
396853,0,0,1,6.8994,9.7559,3.5815,6.4380,-0.0220,0.0238,5.7788,6.9653,-0.0168,9.8114,0.0287,1.2512,0.8240,0.2441,-0.0168,9.8114,0.0287,1.2512,0.8240,0.2441,9.8111,0.7081,0.4305,0.0013,-0.0007,0.0004,-0.0416,0.6873,0.0873,0.7199,0.1406,0.5880,-0.1698,0.7781,9.4100,-0.9600,2.4600,0.0000,0.0000,0.0000,0.7246,-0.0705,-0.6824,-0.0654,9.7600,-0.1400,0.5800,0.0000,0.0000,0.0000,0.2140,0.2630,-0.9344,0.1088,4.5100,-0.8900,-8.6500,0.0000,0.0000,0.0000,-0.7325,-0.2728,0.5459,-0.3014,9.4000,0.6700,2.4700,0.0000,0.0000,0.0000,0.6477,0.3300,-0.5797,0.3679,9.7400,0.0000,1.1000,0.0000,0.0000,0.0000,-0.3955,0.1956,0.0598,0.8953,3.9200,-0.4700,8.9700,0.0000,0.0000,0.0000
396854,0,0,1,6.8994,9.7559,3.5815,6.4380,0.0073,0.0092,5.7788,6.9653,-0.0239,9.7875,0.0575,1.4648,0.9766,0.1221,-0.0239,9.7875,0.0575,1.4648,0.9766,0.1221,9.8111,0.7081,0.4305,0.0013,-0.0007,0.0004,-0.0416,0.6873,0.0873,0.7199,0.1406,0.5880,-0.1698,0.7781,9.4400,-0.9600,2.4400,0.0000,0.0000,0.0000,0.7246,-0.0705,-0.6824,-0.0654,9.7500,-0.1500,0.5800,0.0000,0.0000,0.0000,0.2140,0.2630,-0.9344,0.1088,4.5000,-0.8800,-8.6600,0.0000,0.0000,0.0000,-0.7325,-0.2728,0.5459,-0.3014,9.4100,0.7100,2.5000,0.0000,0.0000,0.0000,0.6477,0.3300,-0.5797,0.3679,9.7200,0.0000,1.1000,0.0000,0.0000,0.0000,-0.3955,0.1956,0.0598,0.8953,3.9000,-0.4500,8.9700,0.0000,0.0000,0.0000
396855,0,0,1,6.8994,9.7559,3.5815,6.4380,-0.0018,0.0110,5.7788,6.9653,-0.0335,9.8019,0.0575,1.4038,0.9766,0.0610,-0.0335,9.8019,0.0575,1.4038,0.9766,0.0610,9.7941,0.6359,0.4919,0.0014,-0.0004,-0.0013,-0.0416,0.6873,0.0873,0.7199,0.1406,0.5880,-0.1698,0.7781,9.4200,-0.9700,2.4400,0.0000,0.0000,0.0000,0.7246,-0.0705,-0.6824,-0.0654,9.7600,-0.1500,0.6200,0.0000,0.0000,0.0000,0.2140,0.2630,-0.9344,0.1088,4.5000,-0.8800,-8.6600,0.0000,0.0000,0.0000,-0.7325,-0.2728,0.5459,-0.3014,9.4000,0.7000,2.4900,0.0000,0.0000,0.0000,0.6477,0.3300,-0.5797,0.3679,9.7300,0.0100,1.0900,0.0000,0.0000,0.0000,-0.3955,0.1956,0.0598,0.8953,3.8800,-0.4800,8.9500,0.0000,0.0000,0.0000
396856,0,0,1,6.8994,9.7559,3.5815,6.4380,0.0055,-0.0146,5.7788,6.9653,-0.0192,9.7923,0.0120,1.4038,0.7019,0.1221,-0.0192,9.7923,0.0120,1.4038,0.7019,0.1221,9.7941,0.6359,0.4919,0.0014,-0.0004,-0.0013,-0.0416,0.6873,0.0873,0.7199,0.1406,0.5880,-0.1698,0.7781,9.4200,-0.9700,2.4400,0.0000,0.0000,0.0000,0.7246,-0.0705,-0.6824,-0.0654,9.7300,-0.1400,0.6200,0.0000,0.0000,0.0000,0.2140,0.2630,-0.9344,0.1088,4.5000,-0.8900,-8.6600,0.0000,0.0000,0.0000,-0.7325,-0.2728,0.5459,-0.3014,9.4000,0.7000,2.4900,0.0000,0.0000,0.0000,0.6477,0.3300,-0.5797,0.3679,9.7100,0.0000,1.0800,0.0000,0.0000,0.0000,-0.3955,0.1956,0.0598,0.8953,3.9000,-0.4700,8.9700,0.0000,0.0000,0.0000
396857,0,0,1,6.8994,9.7559,3.5815,6.4380,0.0146,-0.0311,5.7788,6.9653,-0.0335,9.8114,0.0287,1.3428,0.6409,0.0610,-0.0335,9.8114,0.0287,1.3428,0.6409,0.0610,9.7459,0.7223,0.4152,0.0056,-0.0019,-0.0009,-0.0416,0.6873,0.0873,0.7199,0.1406,0.5880,-0.1698,0.7781,9.3700,-0.9600,2.4600,0.0000,0.0000,0.0000,0.7246,-0.0705,-0.6824,-0.0654,9.7500,-0.1300,0.5900,0.0000,0.0000,0.0000,0.2140,0.2630,-0.9344,0.1088,4.5000,-0.8900,-8.6500,0.0000,0.0000,0.0000,-0.7325,-0.2728,0.5459,-0.3014,9.3900,0.6900,2.5000,0.0000,0.0000,0.0000,0.6477,0.3300,-0.5797,0.3679,9.7200,0.0300,1.0700,0.0000,0.0000,0.0000,-0.3955,0.1956,0.0598,0.8953,3.9000,-0.4700,8.9700,0.0000,0.0000,0.0000
396858,0,0,1,6.8994,9.7559,3.5815,6.4380,0.0055,-0.0293,5.7788,6.9653,-0.0192,9.8210,0.0886,1.4343,0.7935,0.3357,-0.0192,9.8210,0.0886,1.4343,0.7935,0.3357,9.7459,0.7223,0.4152,0.0056,-0.0019,-0.0009,-0.0416,0.6873,0.0873,0.7199,0.1406,0.5880,-0.1698,0.7781,9.4200,-0.9500,2.4500,0.0000,0.0000,0.0000,0.7246,-0.0705,-0.6824,-0.0654,9.7600,-0.1400,0.5800,0.0000,0.0000,0.0000,0.2140,0.2630,-0.9344,0.1088,4.5100,-0.8700,-8.6400,0.0000,0.0000,0.0000,-0.7325,-0.2728,0.5459,-0.3014,9.3900,0.6900,2.5000,0.0000,0.0000,0.0000,0.6477,0.3300,-0.5797,0.3679,9.7200,0.0300,1.0700,0.0000,0.0000,0.0000,-0.3955,0.1956,0.0598,0.8953,3.9000,-0.4600,8.9500,0.0000,0.0000,0.0000
396859,0,0,1,6.8994,9.7559,3.5815,6.4380,0.0073,-0.0128,5.7788,6.9653,-0.0622,9.7923,0.0096,1.3428,0.7019,0.2441,-0.0622,9.7923,0.0096,1.3428,0.7019,0.2441,9.7459,0.7223,0.4152,0.0056,-0.0019,-0.0009,-0.0416,0.6873,0.0873,0.7199,0.1406,0.5880,-0.1698,0.7781,9.3600,-0.9300,2.4700,0.0000,0.0000,0.0000,0.7246,-0.0705,-0.6824,-0.0654,9.7600,-0.1400,0.5800,0.0000,0.0000,0.0000,0.2140,0.2630,-0.9344,0.1088,4.4700,-0.8700,-8.6400,0.0000,0.0000,0.0000,-0.7325,-0.2727,0.5459,-0.3014,9.3800,0.7200,2.5000,0.0000,0.0000,0.0000,0.6477,0.3300,-0.5797,0.3679,9.7300,0.0300,1.0600,0.0000,0.0000,0.0000,-0.3955,0.1956,0.0598,0.8953,3.9000,-0.4600,8.9500,0.0000,0.0000,0.0000
396860,0,0,1,6.8994,9.7559,3.5815,6.4380,0.0128,0.0128,5.7788,6.9653,-0.0048,9.8186,0.0503,1.4038,0.7019,0.2136,-0.0048,9.8186,0.0503,1.4038,0.7019,0.2136,9.7517,0.6277,0.4247,0.0094,-0.0016,0.0009,-0.0416,0.6873,0.0873,0.7199,0.1406,0.5880,-0.1698,0.7781,9.3900,-0.9300,2.4500,0.0000,0.0000,0.0000,0.7246,-0.0705,-0.6824,-0.0654,9.7700,-0.1200,0.5900,0.0000,0.0000,0.0000,0.2140,0.2630,-0.9344,0.1088,4.4700,-0.8700,-8.6400,0.0000,0.0000,0.0000,-0.7325,-0.2727,0.5459,-0.3014,9.3700,0.7200,2.5200,0.0000,0.0000,0.0000,0.6477,0.3300,-0.5797,0.3679,9.7500,0.0100,1.0800,0.0000,0.0000,0.0000,-0.3955,0.1956,0.0598,0.8953,3.8900,-0.4600,8.9600,0.0000,0.0000,0.0000
