LoopCnt,H10Mode,H10AssistLevel,ImuHubConnected,LeftHipAngle,RightHipAngle,LeftThighAngle,RightThighAngle,LeftHipTorque,RightHipTorque,LeftHipMotorAngle,RightHipMotorAngle,LeftHipImuGlobalAccX,LeftHipImuGlobalAccY,LeftHipImuGlobalAccZ,LeftHipImuGlobalGyrX,LeftHipImuGlobalGyrY,LeftHipImuGlobalGyrZ,RightHipImuGlobalAccX,RightHipImuGlobalAccY,RightHipImuGlobalAccZ,RightHipImuGlobalGyrX,RightHipImuGlobalGyrY,RightHipImuGlobalGyrZ,HeadIMU_LocalAccX,HeadIMU_LocalAccY,HeadIMU_LocalAccZ,HeadIMU_LocalGyrX,HeadIMU_LocalGyrY,HeadIMU_LocalGyrZ,HeadIMU_QuatW,HeadIMU_QuatX,HeadIMU_QuatY,HeadIMU_QuatZ,Pelvis_IMU_QuatW,Pelvis_IMU_QuatX,Pelvis_IMU_QuatY,Pelvis_IMU_QuatZ,Pelvis_IMU_AccX,Pelvis_IMU_AccY,Pelvis_IMU_AccZ,Pelvis_IMU_GyrX,Pelvis_IMU_GyrY,Pelvis_IMU_GyrZ,L_Upperarm_IMU_QuatW,L_Upperarm_IMU_QuatX,L_Upperarm_IMU_QuatY,L_Upperarm_IMU_QuatZ,L_Upperarm_IMU_AccX,L_Upperarm_IMU_AccY,L_Upperarm_IMU_AccZ,L_Upperarm_IMU_GyrX,L_Upperarm_IMU_GyrY,L_Upperarm_IMU_GyrZ,L_Lowerarm_IMU_QuatW,L_Lowerarm_IMU_QuatX,L_Lowerarm_IMU_QuatY,L_Lowerarm_IMU_QuatZ,L_Lowerarm_IMU_AccX,L_Lowerarm_IMU_AccY,L_Lowerarm_IMU_AccZ,L_Lowerarm_IMU_GyrX,L_Lowerarm_IMU_GyrY,L_Lowerarm_IMU_GyrZ,Chest_IMU_QuatW,Chest_IMU_QuatX,Chest_IMU_QuatY,Chest_IMU_QuatZ,Chest_IMU_AccX,Chest_IMU_AccY,Chest_IMU_AccZ,Chest_IMU_GyrX,Chest_IMU_GyrY,Chest_IMU_GyrZ,R_Upperarm_IMU_QuatW,R_Upperarm_IMU_QuatX,R_Upperarm_IMU_QuatY,R_Upperarm_IMU_QuatZ,R_Upperarm_IMU_AccX,R_Upperarm_IMU_AccY,R_Upperarm_IMU_AccZ,R_Upperarm_IMU_GyrX,R_Upperarm_IMU_GyrY,R_Upperarm_IMU_GyrZ,R_Lowerarm_IMU_QuatW,R_Lowerarm_IMU_QuatX,R_Lowerarm_IMU_QuatY,R_Lowerarm_IMU_QuatZ,R_Lowerarm_IMU_AccX,R_Lowerarm_IMU_AccY,R_Lowerarm_IMU_AccZ,R_Lowerarm_IMU_GyrX,R_Lowerarm_IMU_GyrY,R_Lowerarm_IMU_GyrZ
528143,0,0,1,-22.2583,-15.8203,-9.9976,-3.5596,-0.0018,-0.011,-23.5986,-18.5229,0.0622,9.754,0.0766,-1.3123,-1.77,0.0916,0.0622,9.754,0.0766,-1.3123,-1.77,0.0916,-7.8039,1.3689,5.7664,-0.0042,-0.0894,0.02,0.4801,-0.3324,0.3145,0.7484,0.5674,0.4054,0.5844,-0.4148,-9.78,-0.23,-0.17,0,0,0,0.41,0.6056,0.4707,0.4934,2.13,9.44,-1.72,0,0,0,0.2991,0.5622,0.4809,0.6025,3.74,9.05,-0.91,0,0,0,-0.5037,-0.4857,-0.5156,0.4944,-9.78,-0.2,0.05,0,0,0,-0.4278,-0.5736,0.4413,0.5413,-2.41,9.49,-0.44,0,0,0,0.5157,0.638,0.2134,0.5304,4.55,8.66,0.92,0,0,0
528144,0,0,1,-22.2583,-15.8203,-9.9976,-3.5596,0.0146,0.0073,-23.5986,-18.5229,0.0622,9.8306,0.0479,-1.0681,-1.6479,-0.0305,0.0622,9.8306,0.0479,-1.0681,-1.6479,-0.0305,-7.8039,1.3689,5.7664,-0.0042,-0.0894,0.02,0.4801,-0.3324,0.3145,0.7484,0.5674,0.4054,0.5844,-0.4148,-9.77,-0.23,-0.19,0,0,0,0.4099,0.6056,0.4707,0.4934,2.16,9.44,-1.71,0,0,0,0.299,0.5622,0.481,0.6025,3.76,9.04,-0.91,0,0,0,-0.5038,-0.4856,-0.5156,0.4943,-9.78,-0.2,0.13,0,0,0,-0.4278,-0.5736,0.4413,0.5413,-2.4,9.46,-0.44,0,0,0,0.5157,0.638,0.2134,0.5304,4.55,8.66,0.92,0,0,0
528145,0,0,1,-22.2583,-15.8203,-9.9976,-3.5596,0,-0.0037,-23.5986,-18.5229,0.0407,9.8019,0.0311,-1.1597,-1.709,0.061,0.0407,9.8019,0.0311,-1.1597,-1.709,0.061,-7.845,1.4232,5.7735,-0.0004,-0.0937,0.02,0.4801,-0.3322,0.3144,0.7485,0.5674,0.4054,0.5844,-0.4148,-9.78,-0.23,-0.19,0,0,0,0.4099,0.6055,0.4707,0.4934,2.16,9.44,-1.7,0,0,0,0.299,0.5622,0.481,0.6025,3.77,9.05,-0.93,0,0,0,-0.5038,-0.4856,-0.5156,0.4943,-9.78,-0.2,0.13,0,0,0,-0.4278,-0.5736,0.4413,0.5413,-2.4,9.46,-0.44,0,0,0,0.5158,0.638,0.2133,0.5303,4.45,8.66,0.96,0,0,0
528146,0,0,1,-22.2583,-15.8203,-9.9976,-3.5596,0.0128,0.0073,-23.5986,-18.5229,0.0503,9.7827,0.0694,-1.1597,-1.709,0.2136,0.0503,9.7827,0.0694,-1.1597,-1.709,0.2136,-7.845,1.4232,5.7735,-0.0004,-0.0937,0.02,0.4801,-0.3322,0.3144,0.7485,0.5675,0.4053,0.5844,-0.4148,-9.76,-0.22,-0.22,0,0,0,0.4099,0.6055,0.4707,0.4934,2.16,9.44,-1.7,0,0,0,0.299,0.5622,0.481,0.6025,3.77,9.05,-0.93,0,0,0,-0.5038,-0.4856,-0.5156,0.4943,-9.75,-0.19,0.23,0,0,0,-0.4279,-0.5736,0.4413,0.5413,-2.38,9.47,-0.47,0,0,0,0.5158,0.6379,0.2134,0.5303,4.47,8.66,0.96,0,0,0
528147,0,0,1,-22.2583,-15.8423,-9.9976,-3.5815,-0.0201,-0.0128,-23.5986,-18.5229,0.0479,9.7636,0.0551,-1.2207,-1.709,-0.0916,0.0479,9.7636,0.0551,-1.2207,-1.709,-0.0916,-7.8552,1.4335,5.765,-0.006,-0.0939,0.0183,0.4801,-0.332,0.3142,0.7487,0.5675,0.4053,0.5844,-0.4148,-9.76,-0.22,-0.22,0,0,0,0.4099,0.6055,0.4708,0.4934,2.19,9.46,-1.72,0,0,0,0.299,0.5622,0.481,0.6025,3.78,9.04,-0.9,0,0,0,-0.5038,-0.4856,-0.5156,0.4943,-9.75,-0.19,0.23,0,0,0,-0.4279,-0.5735,0.4413,0.5413,-2.37,9.49,-0.44,0,0,0,0.5158,0.6379,0.2134,0.5303,4.46,8.66,0.87,0,0,0
528148,0,0,1,-22.2583,-15.8423,-9.9976,-3.5815,-0.0146,-0.0183,-23.5986,-18.5229,0.0407,9.7396,0.0335,-1.0986,-1.6479,0.0305,0.0407,9.7396,0.0335,-1.0986,-1.6479,0.0305,-7.8552,1.4335,5.765,-0.006,-0.0939,0.0183,0.4801,-0.332,0.3142,0.7487,0.5675,0.4053,0.5843,-0.4147,-9.75,-0.22,-0.2,0,0,0,0.4099,0.6055,0.4708,0.4935,2.21,9.45,-1.71,0,0,0,0.299,0.5621,0.481,0.6025,3.82,9.06,-0.9,0,0,0,-0.5039,-0.4856,-0.5156,0.4942,-9.75,-0.18,0.2,0,0,0,-0.4279,-0.5735,0.4413,0.5413,-2.38,9.5,-0.45,0,0,0,0.5158,0.6379,0.2134,0.5303,4.46,8.66,0.87,0,0,0
528149,0,0,1,-22.2583,-15.8423,-9.9976,-3.5815,0.0073,0.0128,-23.5986,-18.5229,0.0694,9.7923,0.0599,-1.2817,-1.6785,0,0.0694,9.7923,0.0599,-1.2817,-1.6785,0,-7.8552,1.4335,5.765,-0.006,-0.0939,0.0183,0.4801,-0.332,0.3142,0.7487,0.5675,0.4053,0.5843,-0.4147,-9.76,-0.21,-0.2,0,0,0,0.4099,0.6055,0.4708,0.4934,2.2,9.47,-1.73,0,0,0,0.2989,0.5621,0.4811,0.6025,3.85,9.05,-0.9,0,0,0,-0.5039,-0.4855,-0.5157,0.4942,-9.77,-0.19,0.16,0,0,0,-0.4279,-0.5735,0.4413,0.5413,-2.37,9.53,-0.45,0,0,0,0.5159,0.6379,0.2134,0.5303,4.59,8.67,0.91,0,0,0
528150,0,0,1,-22.2583,-15.8423,-9.9976,-3.5815,-0.022,-0.0146,-23.5986,-18.5229,-0.012,9.7252,0.0886,-1.1902,-1.4648,0.2136,-0.012,9.7252,0.0886,-1.1902,-1.4648,0.2136,-7.8171,1.4306,5.7609,-0.0052,-0.0959,0.0145,0.4802,-0.3319,0.3141,0.7488,0.5676,0.4053,0.5843,-0.4147,-9.74,-0.22,-0.19,0,0,0,0.4099,0.6054,0.4709,0.4934,2.2,9.46,-1.76,0,0,0,0.2989,0.5621,0.4811,0.6025,3.86,9.08,-0.9,0,0,0,-0.5039,-0.4855,-0.5157,0.4942,-9.76,-0.18,0.09,0,0,0,-0.4279,-0.5735,0.4413,0.5413,-2.37,9.53,-0.45,0,0,0,0.5159,0.6378,0.2134,0.5304,4.5,8.61,0.95,0,0,0
528151,0,0,1,-22.2583,-15.8423,-9.9976,-3.5815,-0.0092,0.0055,-23.5986,-18.5229,0.067,9.73,0.0958,-1.1902,-1.6174,0.0305,0.067,9.73,0.0958,-1.1902,-1.6174,0.0305,-7.8171,1.4306,5.7609,-0.0052,-0.0959,0.0145,0.4802,-0.3319,0.3141,0.7488,0.5676,0.4052,0.5843,-0.4147,-9.74,-0.21,-0.18,0,0,0,0.4099,0.6054,0.4709,0.4934,2.19,9.46,-1.78,0,0,0,0.2989,0.5621,0.4811,0.6025,3.86,9.08,-0.9,0,0,0,-0.5039,-0.4855,-0.5157,0.4942,-9.76,-0.18,0.04,0,0,0,-0.4279,-0.5735,0.4413,0.5413,-2.36,9.53,-0.46,0,0,0,0.5159,0.6378,0.2135,0.5304,4.52,8.58,0.96,0,0,0
528152,0,0,1,-22.2583,-15.8423,-9.9976,-3.5815,0.0128,-0.0201,-23.5986,-18.5229,0.0694,9.7588,0.0622,-1.3428,-1.6174,-0.0305,0.0694,9.7588,0.0622,-1.3428,-1.6174,-0.0305,-7.8076,1.4457,5.741,-0.0052,-0.0942,0.016,0.4802,-0.3317,0.314,0.7489,0.5676,0.4052,0.5843,-0.4147,-9.74,-0.21,-0.18,0,0,0,0.4099,0.6054,0.4709,0.4934,2.19,9.46,-1.78,0,0,0,0.2989,0.5621,0.4811,0.6026,3.86,9.06,-0.89,0,0,0,-0.5039,-0.4855,-0.5157,0.4942,-9.76,-0.18,0.04,0,0,0,-0.4279,-0.5735,0.4413,0.5413,-2.37,9.53,-0.46,0,0,0,0.5159,0.6377,0.2135,0.5304,4.51,8.59,0.92,0,0,0
